Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,43,0.37209302325581395
Enc,False,0,64,51,1.2549019607843137
Enc,False,0,128,67,1.9104477611940298
Enc,False,0,256,99,2.585858585858586
Enc,False,0,1536,419,3.6658711217183773
Enc,False,0,long,32,4.0
Enc,False,16,0,43,0.37209302325581395
Enc,False,64,0,51,1.2549019607843137
Enc,False,128,0,67,1.9104477611940298
Enc,False,256,0,99,2.585858585858586
Enc,False,1536,0,419,3.6658711217183773
Enc,False,long,0,32,4.0
Enc,False,16,16,55,0.5818181818181818
Enc,False,64,64,71,1.8028169014084507
Enc,False,128,128,103,2.4854368932038833
Enc,False,256,256,167,3.065868263473054
Enc,False,1536,1536,807,3.806691449814126
Enc,False,long,long,64,4.0
Enc,True,0,16,42,0.38095238095238093
Enc,True,0,64,50,1.28
Enc,True,0,128,66,1.9393939393939394
Enc,True,0,256,98,2.6122448979591835
Enc,True,0,1536,418,3.674641148325359
Enc,True,0,long,32,4.0
Enc,True,16,0,42,0.38095238095238093
Enc,True,64,0,50,1.28
Enc,True,128,0,66,1.9393939393939394
Enc,True,256,0,98,2.6122448979591835
Enc,True,1536,0,418,3.674641148325359
Enc,True,long,0,32,4.0
Enc,True,16,16,54,0.5925925925925926
Enc,True,64,64,70,1.8285714285714285
Enc,True,128,128,102,2.5098039215686274
Enc,True,256,256,166,3.0843373493975905
Enc,True,1536,1536,806,3.8114143920595533
Enc,True,long,long,64,4.0
Dec,False,0,16,43,0.37209302325581395
Dec,False,0,64,51,1.2549019607843137
Dec,False,0,128,67,1.9104477611940298
Dec,False,0,256,99,2.585858585858586
Dec,False,0,1536,419,3.6658711217183773
Dec,False,0,long,32,4.0
Dec,False,16,0,43,0.37209302325581395
Dec,False,64,0,51,1.2549019607843137
Dec,False,128,0,67,1.9104477611940298
Dec,False,256,0,99,2.585858585858586
Dec,False,1536,0,419,3.6658711217183773
Dec,False,long,0,32,4.0
Dec,False,16,16,55,0.5818181818181818
Dec,False,64,64,71,1.8028169014084507
Dec,False,128,128,103,2.4854368932038833
Dec,False,256,256,167,3.065868263473054
Dec,False,1536,1536,807,3.806691449814126
Dec,False,long,long,64,4.0
Dec,True,0,16,42,0.38095238095238093
Dec,True,0,64,50,1.28
Dec,True,0,128,66,1.9393939393939394
Dec,True,0,256,98,2.6122448979591835
Dec,True,0,1536,418,3.674641148325359
Dec,True,0,long,32,4.0
Dec,True,16,0,42,0.38095238095238093
Dec,True,64,0,50,1.28
Dec,True,128,0,66,1.9393939393939394
Dec,True,256,0,98,2.6122448979591835
Dec,True,1536,0,418,3.674641148325359
Dec,True,long,0,32,4.0
Dec,True,16,16,54,0.5925925925925926
Dec,True,64,64,70,1.8285714285714285
Dec,True,128,128,102,2.5098039215686274
Dec,True,256,256,166,3.0843373493975905
Dec,True,1536,1536,806,3.8114143920595533
Dec,True,long,long,64,4.0
